Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:41.821 PM,15.650401,18.166964,51.044418,338.867737,23.661949,12.495967,13.561618,14.394484,4950.214355,5319.058105,3720.338135,1042.856445,3239.622314,62.212887,190.028152,75.599579,76.635483,77.033585,0.000000
08-29-2009 : 12:24:41.825 PM,15.384466,18.071865,52.692081,330.046875,23.328176,12.442966,13.335594,14.538381,4864.201660,5369.942383,3820.040527,2291.963135,1552.453003,175.152374,192.783188,75.475700,76.512726,76.951759,0.000000
08-29-2009 : 12:24:41.829 PM,15.519416,17.843094,51.412907,337.748962,23.528658,12.516392,13.526839,14.692785,4907.886230,5390.324219,3932.225830,279.308411,2582.593994,720.141052,190.431107,75.524261,76.681847,76.987587,0.000000
08-29-2009 : 12:24:41.833 PM,16.046156,18.465086,51.958664,340.352875,23.445206,12.533667,13.620172,14.677707,4926.830566,5345.818848,3969.394775,1194.333008,4287.183105,740.155640,193.476898,75.498154,76.530678,76.999626,0.000000
08-29-2009 : 12:24:41.837 PM,16.168673,18.195868,52.457783,335.358398,23.669817,12.525532,13.576723,14.512754,4960.214844,5394.880859,4006.738037,645.540405,2426.075439,12.512050,188.424866,75.575455,76.509972,77.014656,0.000000
08-29-2009 : 12:24:41.841 PM,15.879807,18.226349,52.002037,335.020020,23.602657,12.717191,13.722816,14.607122,4973.900879,5371.628906,3922.655518,1436.304321,728.537048,3418.250488,195.768707,75.432014,76.487206,76.966110,0.000000
08-29-2009 : 12:24:41.845 PM,16.052753,18.161001,52.758232,338.387238,23.565765,12.520350,13.584481,14.622492,4978.739746,5400.512207,3935.738281,4232.903320,1728.215332,1937.403198,191.576523,75.409554,76.477806,76.978615,0.000000
08-29-2009 : 12:24:41.849 PM,15.922647,18.156502,52.653477,342.236786,23.531031,12.561791,13.652909,14.514611,4998.024902,5362.873047,4000.906738,2268.733398,2153.845459,1173.613403,194.114822,75.497459,76.448830,77.003357,0.000000
08-29-2009 : 12:24:41.853 PM,15.792560,18.358337,52.764717,340.768005,23.739841,12.518891,13.820332,14.692430,4949.208984,5392.233887,4103.438965,2125.686523,1300.497803,2041.342041,188.464035,75.527771,76.547867,77.044708,0.000000
08-29-2009 : 12:24:41.857 PM,15.920656,18.241661,53.525459,337.587402,23.597574,12.739087,13.653132,14.644380,4961.446777,5371.095703,3955.255371,3165.886230,823.224426,998.775269,190.983139,75.545197,76.481674,77.102119,0.000000
08-29-2009 : 12:24:41.861 PM,16.281681,18.570250,52.281254,344.475616,23.998501,12.822125,13.720308,14.951488,5019.211914,5415.004395,4069.539795,3599.863281,687.303101,130.923767,195.089996,75.561226,76.505943,77.086105,0.000000
08-29-2009 : 12:24:41.865 PM,15.835955,18.529591,52.870838,342.239960,23.854317,12.694843,13.866704,14.743529,5078.556641,5459.681152,4108.809570,1080.341797,43.870949,-28.550520,191.852768,75.442955,76.462730,77.000687,0.000000
08-29-2009 : 12:24:41.869 PM,16.162701,18.682041,53.242973,343.082123,24.064646,12.855078,13.780965,14.677337,5030.348633,5467.095703,3926.960449,2682.000977,1377.728271,19.201500,191.480530,75.353874,76.339722,76.852592,0.000000
08-29-2009 : 12:24:41.873 PM,16.045555,18.625238,53.767220,343.119720,24.068470,12.869544,13.750769,14.750376,5025.297363,5393.589355,3961.052002,2474.804443,1014.894775,1935.389771,191.757919,75.652954,76.553207,77.159172,0.000000
08-29-2009 : 12:24:41.877 PM,16.293198,18.493809,53.629684,341.451019,24.202044,12.841971,13.968637,14.966115,5021.401855,5387.371582,4132.472656,1629.725464,1399.403564,777.327942,194.868515,75.528664,76.452560,77.020241,0.000000
08-29-2009 : 12:24:41.881 PM,16.489002,18.566397,52.951267,343.131500,24.277615,12.888725,14.011040,15.073135,5021.725098,5493.448242,4027.072266,238.008728,331.283783,2035.810181,195.935776,75.545044,76.544556,77.133705,0.000000
08-29-2009 : 12:24:41.885 PM,16.346836,18.950104,53.371918,350.742920,24.069759,12.789029,13.973757,15.168732,5010.917969,5436.901855,4253.472168,-21.553026,1283.854980,854.493958,199.907974,75.559402,76.502220,76.987221,0.000000
08-29-2009 : 12:24:41.889 PM,16.462023,19.058559,53.628757,348.850403,24.263578,12.926067,13.819019,14.971969,5039.108887,5419.979492,4097.899414,2385.866699,1577.050415,815.128479,195.697220,75.678741,76.567535,77.094009,0.000000
08-29-2009 : 12:24:41.893 PM,16.655910,18.813061,53.651470,347.264923,24.292751,12.874746,14.192059,14.939725,5045.637695,5448.101562,4056.841309,2478.197510,2608.962402,424.444733,197.586746,75.565269,76.493057,77.076149,0.000000
08-29-2009 : 12:24:41.897 PM,17.047607,18.957609,54.473022,348.120544,24.858131,12.910757,13.943519,15.086134,5122.531738,5443.068359,4186.541992,3521.563965,1882.553955,1041.732056,198.204224,75.640488,76.541344,76.962570,0.000000
08-29-2009 : 12:24:41.901 PM,16.692137,18.841141,53.248508,343.168365,24.591314,13.105748,14.135221,14.866075,5067.384766,5550.563477,4213.907715,1990.431519,1951.935913,2978.984863,199.589188,75.487549,76.477524,77.154076,0.000000
